Utbildningsområde,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Data/IT,0.06284540185993383,0.06193243121783984,0.06051934090679933,0.06037990040002702,0.06054562789823289,0.06054095405949752,0.06039605170195774,0.06077835561326366,0.062152345274589314,0.06294362020682079,0.0664225833669658,0.06642157445748405,0.06656306326532226
"Ekonomi, administration och försäljning",0.05176524562619269,0.0521566735309328,0.05271614994037165,0.05353186632132648,0.05467818005729639,0.055087560595239594,0.05497778159974494,0.05538406296584761,0.056414929752834735,0.056958997650360665,0.059986352619650664,0.060068083295086595,0.060205413945974014
Friskvård och kroppsvård,0.055352328121582806,0.05628561483864495,0.05673810579874134,0.05904256593569155,0.06583889469999282,0.06642678018575851,0.06514582790537578,0.06879382463529822,0.07330666211944482,0.07591368079757613,0.08182636087884237,0.08321135153329437,0.08379560118527403
"Hotell, restaurang och turism",0.05598750980193137,0.056853136103508936,0.05652373041643056,0.05585279274930215,0.05583249186810923,0.0558550098560366,0.056232071449835296,0.05688662078789558,0.05800128574013367,0.05842928131442519,0.060723231361311955,0.06065271997446766,0.06083162966712436
Hälso- och sjukvård samt socialt arbete,0.055313517264531764,0.05532652556450174,0.0561183444589872,0.05721503075900581,0.05817088831502671,0.05838301796843952,0.058263154998877784,0.05867026223643592,0.059773336695894776,0.05996493309030898,0.06197353523934396,0.06203697250785096,0.06241633007674387
Journalistik och information,0.057285054649673935,0.057181678177245836,0.05568531253489569,0.05525076112657982,0.05602686229285113,0.056734187371444915,0.056442777473895714,0.05785730452437319,0.059498421326887596,0.06044773491490931,0.06458472011388944,0.06481795396176136,0.0653240477681564
Juridik,0.05237847582216688,0.05208413639596492,0.052263261754195274,0.053281492842263946,0.053999999999999986,0.05400410572235053,0.05366795459197647,0.05338733122807929,0.0539804905622426,0.05541905194919955,0.05723846351067894,0.05735859448100632,0.05803701001384628
"Kultur, media och design",0.06359626769752572,0.06417093628495732,0.06572411721751721,0.06778077546691254,0.07019501997212521,0.07127761418966651,0.07104077850454805,0.07176075002238427,0.07299681970790818,0.07343711481870972,0.07637601587305448,0.07644720825229463,0.07683280620844235
"Lantbruk, djurvård, trädgård, skog och fiske",0.06560725640407937,0.06703147647411457,0.06893036151400335,0.07156764593052208,0.07444201430994088,0.0748776517674697,0.0750112298194736,0.07808617039786515,0.08175889844035865,0.0832104669650126,0.08511019215400806,0.08595407869804755,0.08821428191647764
Pedagogik och undervisning,0.06054428741084559,0.06248739350061694,0.06470399357482444,0.0672742548115793,0.06741631883144068,0.06553166344970891,0.06634856946029644,0.06408061929675918,0.06713586086773969,0.06883269785068086,0.07039442273174665,0.07071168573968838,0.07386641254852191
Samhällsbyggnad och byggteknik,0.06285305083952374,0.06399869203707269,0.0640556120921987,0.06311868605333962,0.0628806310543463,0.0629108128985014,0.0626822238257122,0.06259894176085413,0.0633739085016483,0.06392929397974817,0.06733361771066881,0.06751628975956056,0.06790608827810223
Säkerhetstjänster,0.05537303202929752,0.055429482963404005,0.055461038044407926,0.05654184679823602,0.056022371364653246,0.05577169432256419,0.05523742943978734,0.055637498183439445,0.057312973751605774,0.058159527375965504,0.061976827194060655,0.06336173345558113,0.06420784103966216
Teknik och tillverkning,0.06801923525322587,0.06957500963811279,0.06986124896183586,0.07098494912153432,0.07368581322179771,0.0756175831421815,0.07656572566736543,0.0769751925169926,0.07824664143156262,0.07888982498720001,0.08177031218436971,0.08199241669234597,0.08226364787362273
Transporttjänster,0.0639361070314607,0.0727012437264895,0.09726171467467487,0.11771343270172666,0.11668648486964278,0.0997233552185391,0.09317008583042709,0.09997850320164135,0.10132655502483776,0.10304919724542094,0.10795289650133821,0.104538241564918,0.09688433225810361
Övrigt,0.07476966900456562,0.078,0.07800000000000007,0.08027938433057036,0.08583576318609541,0.08716176946974007,0.09322554146282895,0.09289428393549817,0.09510684052732296,0.0974894686645187,0.1020594137920409,0.11045901611925461,0.12370701500964212
Totalt,0.05917484008811108,0.060150624567308644,0.06081289377215402,0.06216626075802031,0.06381436517460576,0.06380751698851667,0.06328770666115036,0.06346319711359678,0.06470036348774214,0.06531661656564129,0.06852647594870016,0.06876436721332668,0.06924526061564565
